;setup;adj_rand;nmi;ami;homogeneity;completeness;v-1;v-2;v-0.5;fmi
20;ASL_agglomorative_dtw;0.031115;0.421300;0.238727;0.375000;0.480644;0.421300;0.439383;0.404646;0.070736
21;ASL_agglomorative_edr;-0.001552;0.290555;-0.007706;0.284631;0.296731;0.290555;0.292585;0.288553;0.010707
22;ASL_agglomorative_erp;0.028077;0.371046;0.183687;0.333201;0.418588;0.371046;0.385646;0.357510;0.059554
23;ASL_agglomorative_sspd;0.037884;0.403444;0.208479;0.371166;0.441870;0.403444;0.415488;0.392078;0.064606
24;ASL_spectral_discrete_frechet;0.093093;0.454278;0.216048;0.449046;0.459633;0.454278;0.456049;0.452521;0.103790
25;ASL_spectral_hausdorff;0.106546;0.463258;0.226756;0.458792;0.467812;0.463258;0.464766;0.461760;0.116855
26;ASL_spectral_dtw;0.089597;0.443303;0.200317;0.437777;0.448970;0.443303;0.445176;0.441445;0.100764
27;ASL_spectral_edr;0.000564;0.290073;-0.001317;0.281645;0.299022;0.290073;0.292996;0.287208;0.014463
28;ASL_spectral_erp;0.069973;0.425356;0.173387;0.420595;0.430225;0.425356;0.426966;0.423757;0.080917
29;ASL_spectral_sspd;0.079543;0.436905;0.192731;0.430823;0.443161;0.436905;0.438971;0.434859;0.091030
30;CROSS_kmed_discrete_frechet;0.959625;0.975818;0.975063;0.975810;0.975826;0.975818;0.975821;0.975816;0.961730
31;CROSS_kmed_hausdorff;0.991172;0.992831;0.992607;0.992825;0.992836;0.992831;0.992832;0.992829;0.991632
32;CROSS_kmed_dtw;0.952833;0.970998;0.970092;0.970682;0.971315;0.970998;0.971104;0.970893;0.955298
33;CROSS_kmed_edr;0.028148;0.211799;0.176570;0.157655;0.322585;0.211799;0.239180;0.190043;0.183377
34;CROSS_kmed_erp;0.664885;0.862009;0.857545;0.847582;0.876935;0.862009;0.866928;0.857146;0.687117
35;CROSS_kmed_sspd;0.978396;0.983885;0.983381;0.983881;0.983888;0.983885;0.983886;0.983883;0.979522
36;CROSS_dbscan_discrete_frechet;0.657871;0.835510;0.822237;0.907472;0.774123;0.835510;0.813994;0.858195;0.678367
37;CROSS_dbscan_hausdorff;0.833162;0.911856;0.909081;0.907946;0.915799;0.911856;0.913166;0.910549;0.842492
38;CROSS_dbscan_dtw;0.671693;0.868649;0.863859;0.832593;0.907970;0.868649;0.881372;0.856288;0.704767
39;CROSS_dbscan_edr;0.034307;0.108736;0.106395;0.067144;0.285727;0.108736;0.137030;0.090126;0.214770
40;CROSS_dbscan_erp;0.462679;0.783812;0.765357;0.860231;0.719862;0.783812;0.761269;0.807730;0.490726
41;CROSS_dbscan_sspd;0.845754;0.914639;0.911955;0.911243;0.918060;0.914639;0.915776;0.913504;0.854304
42;CROSS_hdbscan_discrete_frechet;0.741422;0.919690;0.917919;0.851321;1.000000;0.919690;0.944987;0.895712;0.781355
43;CROSS_hdbscan_hausdorff;0.626681;0.889975;0.887691;0.801761;1.000000;0.889975;0.923857;0.858490;0.696182
44;CROSS_hdbscan_dtw;0.741422;0.919690;0.917919;0.851321;1.000000;0.919690;0.944987;0.895712;0.781355
45;CROSS_hdbscan_edr;0.001016;0.048064;0.025514;0.026988;0.219401;0.048064;0.064979;0.038137;0.215720
46;CROSS_hdbscan_erp;0.536993;0.824478;0.808513;0.930900;0.739892;0.824478;0.794212;0.857141;0.571935
47;CROSS_hdbscan_sspd;0.626681;0.889975;0.887691;0.801761;1.000000;0.889975;0.923857;0.858490;0.696182
48;CROSS_agglomorative_discrete_frechet;0.986732;0.989715;0.989394;0.989692;0.989738;0.989715;0.989723;0.989707;0.987423
49;CROSS_agglomorative_hausdorff;0.994453;0.995242;0.995093;0.995239;0.995244;0.995242;0.995243;0.995241;0.994742
